Id;Anzahl_der_Plaetze
2008;40
2009;40
2010;40
2011;90
2012;95
2013;90
2014;65
2015;50
2016;100
2099;65
2100;50
2017;120
2018;20
2102;60
2104;60
2019;130
2064;90
2020;90
2021;60
2115;40
2119;45
4111;100
2065;40
2068;45
2022;90
2108;80
2023;110
2105;70
2075;45
2109;42
2076;45
2024;95
4124;80
2057;45
2074;60
2082;50
3995;45
2071;45
2025;65
2027;65
2111;80
3441;60
2028;110
4112;80
4503;80
2112;45
2029;100
2091;75
2085;45
4504;15
6495;55
2933;55
2126;15
2103;45
2110;65
2116;45
2097;45
2030;170
2031;80
2086;65
2032;115
2114;65
2033;120
2034;105
2087;40
2036;140
2037;120
2089;45
2079;45
2092;45
2038;65
2123;40
2118;40
2040;60
4125;80
2041;105
2042;85
2043;120
2044;55
2045;65
2046;160
2047;90
3762;80
2049;105
2120;100
4110;115
2048;35
2050;145
2052;80
2124;10
2073;80
2058;45
2069;45
2062;45
2066;45
2095;45
2077;45
2059;75
2060;45
2067;45
2070;60
2098;45
4237;60
2072;45
2084;45
2093;65
2090;45
2078;50
2061;65
3761;45
2117;60
2096;45
2053;75
2054;50
2055;140
2127;40
2056;105
3763;100
2026;60
